	test
77	['только', 'передать', 'дело', 'суд', 'нету', 'один', 'строчка', 'каво', 'сколько', 'осудить']
78	['это']
79	['да', 'такой']
80	['знаток', 'сразу', 'видно', '👆']
81	['судить']
82	['глупенький']
83	['писать', 'лс', 'ссыкунишька', 'блокировать']
84	['киев', 'труха', '😄']
85	['всхрюкнуть', 'обычно', 'що', '😂']
86	['россия', 'б', 'лять', 'мирный']
87	['поздравить', 'украинец', 'британец', 'решить', 'превратить', 'украина', 'ядерный', 'помойка', 'тарас', 'оксанки', 'вскоре', 'начать', 'болеть', 'рак', 'значительно', 'частый', 'спасибо', 'западный', 'хозяин']
88	['труха', 'киев', 'новость', 'прочитать', 'полностью', 'там', 'говориться', 'последствие', 'применение', 'радиоактивный', 'заражение', 'так', 'далее', 'последствие', 'киев', 'слово']
89	[]
90	['боевой', 'действие', 'идти', 'территория', 'свинарний', '😂']
91	[]
92	[]
93	[]
94	[]
95	[]
96	['потмоу', 'зеленский', 'агрессивный', 'план', 'мирный', 'фашик', 'год', 'мочь', 'договриться', 'рф', 'стать']
97	['план', 'который', 'включать', 'оставление', 'освободить', 'ранее', 'земля', 'россия', 'я', 'понимать', 'читать', 'никто', 'уметь', 'ознакомиться', 'план']
98	['по', 'судить', '😂', '😂', '🐷']
99	['хихолить', 'весся', 'ваш', 'весенний', 'контрнаступа', 'земля', 'хоронить', 'скуестись']
100	['разрешение', 'китайский', 'хозяин']
101	[]
102	['мешок', 'котёл', 'котёл', 'закрытый', 'мешечь', 'всё', 'новый', 'идти', '😉']
103	[]
104	['постить', 'фотошоп', 'если', 'оригинальный', 'фотография', 'хозяин', 'марионетка']
105	[]
106	[]
107	['рне']
108	[]
109	['🐔', '🐔', '🐔', '🐔']
110	['😂', 'зарабатывать', 'пенсионер', 'что', 'пристать']
111	['💥', '💥', '💥', '💥', '💥', '💥', '💥', '💥', '💥', 'в', 'год', 'писать', 'снаряд', 'использовать', 'британский', 'войско', 'ирак', 'радиация', 'этот', 'территория', 'превышать', 'норма', 'в', 'сам', 'подбить', 'танк', 'норма', 'радиация', 'превысить', 'аж', 'также', 'статья', 'отмечаться', 'снаряд', 'первый', 'иракский', 'война', 'послужить', 'причина', 'аномально', 'высокий', 'уровень', 'детский', 'лейкемия', 'врождённый', 'дефект']
112	['врать']
113	['попробовать', 'проверить', 'свой', 'штык']
114	['штык', 'британский', 'снаряд', 'засунуть', 'эксперимент']
115	['который', 'нога']
116	['всё', 'один', 'место', 'жизнь', 'познать']
117	['че', 'делать', 'быть', 'плакать']
118	['быть', 'радоваться', 'лоб', 'вырасти', 'полова', 'орган', '🤣']
119	['плохой', '🤣', '🤣']
120	['школа', 'врать', 'радиология', 'изучать']
121	['не', 'такой', 'школа']
122	['опять', 'красный', 'линь']
123	[]
124	['это', 'идиот', 'заботиться', 'земля', 'плодоносить', 'народ', 'онкология', 'загнуться']
125	['путин', 'первый', 'начать', 'война', 'угрожать', 'весь', 'мир', 'ядерный', 'оружие', 'испугаться']
126	[]
127	['мозг', 'купить', '🤡']
128	['конкретно', 'радиация', 'бахнуть', 'европа', 'обойти', 'а', 'великобритания', 'трогать', 'быть', '«посейдон', '«', 'удар', 'рядом', 'берег', 'цунами', 'нет', 'британия', 'просветиться']
129	['оксана', 'идти', 'укольчик', 'бот', '😂']
130	['этот', 'бестолочь', 'достучаться', '🤦', '\u200d', '♂', '️кома', 'плохой', 'делать']
131	[]
132	['первый', 'наш', 'президент', 'первый', 'нападать', 'он', 'выступать', 'роль', 'защитник', 'свой', 'народ', 'свой', 'страна']
133	['война', 'начало', 'украина', 'февраль', 'год']
134	['испугаться', 'украинец', 'ведь', 'это', 'земля', 'пригодный', 'это', 'быть', 'жить', 'земля', 'да', 'хокл', 'европа', 'смочь', 'уехать', 'вынудить', 'быть', 'остаться', 'жить', 'а', 'понимать', 'доскакаться']
135	['купить', 'мозг']
136	['понятно', 'эскалация', 'нужный', 'расти', 'пропаганда']
137	['эскалация', 'заниматься', 'запад', 'продолжать', 'искать', 'новый', 'способ', 'совершенно', 'задумываться', 'негативный', 'последствие']
138	['да', 'это', 'уран', 'развести', 'такой', 'паника', 'ничего', 'новый', 'особенный', 'этот', 'снаряд', 'особенно', 'ну', 'закидать', 'они', 'густо', 'густо', 'маленький', 'территория', 'быть', 'какой', 'экологический', 'последствие', 'вред', 'жизнь', 'а', 'обеденный', 'уран', 'медицина', 'использовать', 'обшивка', 'некоторый', 'самолёт', 'брон', 'тот', 'абрамс', 'да', 'и', 'союз', 'активно', 'использовать', 'такой', 'снаряд', 'так', 'хватить', 'лапша', 'ухо', 'народ', 'вешать']
139	['это', 'похрюкать', 'житель', 'югославия', 'где', 'достаточно', 'онкологический', 'смерть', 'сша', '🇺🇸', 'нато']
140	['а', 'давать', 'привезти', 'туда', 'местность', 'закидать', 'радиоактивный', 'снаряд', 'посмотреть', 'ты', 'полгода']
141	['югослав']
142	['вон', 'почему', 'стать', 'питарас', 'вставать', 'наш', 'русский', 'мужик', 'зависть', 'решить', 'уран', 'посыпать']
143	['вообще', 'мужик', 'один', 'тот', '🤣', 'короче', 'понять', '🤣', '🤣', '🤣']
144	['ия', 'закидать', 'территория', 'ну', 'принцип', 'это', 'ненадолго', 'через', 'миллиард', 'год', 'почва', 'фонить', 'перестать']
145	['значит', 'россия', 'ответ', 'это', 'использовать', 'обогатить', 'уран']
146	[]
147	['это', 'кстати', 'касаться']
148	['интересно', 'посмотреть', '🐽', '🇺🇦', 'вместо', 'хвостик', 'второй', 'пятак', 'поп', 'вырастить', 'радиация', '😅']
149	['прикольно']
150	['давно', 'мозг', 'свой', 'продать']
151	['такой', 'картинка', 'выкладывать', 'давно', 'понятно', 'далее']
152	['она', 'моск', 'лишиться']
153	['копейка', 'продать', '🤣', '🤣']
154	['куда', 'подать', 'документ', 'признать', 'иноагент']
155	['гантель', 'научиться', 'приседать']
156	['твой', 'флаг', 'всё', 'ясно', 'зачем', 'писать', 'комментарий', 'хотеть', 'прославиться']
157	['хотеть', 'занести', 'список', 'хороший', 'гражданин', 'страна']
158	['хороший', 'гражданин', 'россия', 'сражаться', 'страна', 'свой', 'семья', 'иноагент', 'видосик', 'западный', 'методичка', 'делать', 'скулить', 'россия', 'плохой', 'что', 'лучшбыть']
159	['немец', 'время', 'нациска', 'германия', 'сражаться', 'страна', 'причём', 'чужой', 'страна']
160	['данный', 'случай', 'фашня', 'сегодня', 'украина', 'сидеть', 'вот', 'это', 'объяснить']
161	['путин', 'лишь', 'использовать', 'это', 'казус', 'белли', 'оправдать', 'оккупация', 'чужой', 'страна', 'странный', 'фашист', 'чужой', 'страна', 'убивать']
162	['хороший', 'гражданин', 'чужой', 'страна', 'да', 'предатель', 'любить', 'пользовать']
163	['оккупант', 'проводить', 'референдум', 'строить', 'дом', 'мариуполь', 'поставлять', 'гуманитарка', 'носить', 'георгиевский', 'лента', 'защищать', 'мирный', 'время', 'зелёный', 'коридор']
164	['почитай', 'австрийский', 'референдум', 'аншлюс', 'неуч']
165	['как', 'год', 'спокойный', 'никуда', 'ракета', 'лететь']
166	['власть', 'киев', 'нацист', 'захватить', 'приказывать', 'боевик', 'палить', 'донбасс', 'русский', 'жить']
167	['харьков', 'русскоязычный', 'город', 'почему', 'он', 'палить', '🥱']
168	['государственный', 'переворот', 'киев']
169	['спросить', 'почему', 'киев', 'решить', 'м', 'год', 'напасть', 'донбасс']
170	['оккупация', 'фшистов🇺🇦']
171	['стрелять', '🥱']
172	['ботряа', 'скрипт', 'полететь', 'методичка', 'написать', 'боярка', 'перепить']
173	['просто', 'пройти', 'рейд', 'каратель', 'стрелять', 'оппозиция', 'ваш', 'фшистский', 'хунта']
