	test
3318	['трусище', 'болька', 'так', 'делать', 'страна']
3319	['ты', 'угорать', 'нервничать', 'а', 'утро', 'заряжаться', 'позитив', 'глядеть', 'твой', 'усилие']
3320	[]
3321	['далёкий', 'будект', 'плохой', 'украина', 'смочь', 'долго', 'продержаться', 'спонсирование', 'собственно', 'начать', 'это', 'смочь', 'страна', 'вкладываться', 'теророиизм']
3322	['именно']
3323	['месяц', 'полтора', 'узнать', 'это']
3324	['це', 'однозначно', 'зрада', 'другой', 'страна', 'это', 'начаться', 'украина', 'никто', 'смочь', 'накачивать', 'снаряд']
3325	['это', 'полный', 'зарада', 'европа', 'понемногу', 'заканчиваться', 'план', 'вооружение']
3326	['как', 'хуева', 'дело', 'фронт', 'всу', 'переможник', 'наш', 'соц', 'сеть', 'казаться', 'закончаться']
3327	[]
3328	['сейчас', 'исчерпать', 'поздний', 'нарастить', 'чех', 'делать', 'прекрасный', 'техника', 'вооружение']
3329	['думать', 'дать', 'нарастить', 'шатат', 'быть', 'заставлять', 'покупать', 'вооружение', 'огромный', 'деньга']
3330	['сначала', 'посоветоваться', 'пригожинский', 'бот']
3331	['помнить', 'чех', 'уметь', 'делать', 'отличный', 'военный', 'продукция', 'снабжать', 'нацистский', 'вермахт', 'год', 'а', 'снабжать', 'бандеровский', 'всу', 'ничего', 'измениться', 'особо']
3332	['пригожин', 'самый', 'говорить', 'спросить']
3333	['бендеровский']
3334	['ба', 'бе']
3335	['что', 'город', 'бот', 'выше', '👆', 'какой', 'всу', 'блажить']
3336	['не', 'думать', 'получиться', 'нарастить', 'начаться', 'проблемный', 'время', 'экономика', 'трудно', 'удержать']
3337	['причём', 'бендеровский', 'житель', 'бендер', 'участвовать']
3338	['ссср', 'хилый', 'снабжать', 'нациковы']
3339	['это', 'именно', 'выглядеть', 'евроинтеграция', 'киев', 'который', 'хотеть']
3340	['вот', 'ещё', 'один', 'страна', 'который', 'остласт', 'если', 'остьный', 'страна', 'быть', 'продолать', 'это', 'спонсировать', 'больга', 'смочь', 'сам', 'вооружение', 'страна', 'остаться']
3341	['он', 'право', 'мочь', 'ответ', 'английский', 'боеприпас', 'обеднить', 'уран', 'смысл', 'применять', 'свой', 'ядерный', 'припас', 'обеднить', 'действие', '🙄']
3342	[]
3343	['свой', 'вытащить', 'скалд', 'преступник', 'бандеровский']
3344	['бандерошвайн']
3345	['киев', 'это', 'подсобка', 'империя', 'ложь', 'киев', 'никто', 'верить', 'ведь', 'нанять', 'цру', 'артист', 'сидеть', '☝', '🙄']
3346	['проблема', 'быть', 'применять', 'де', 'юр', 'свой', 'территория']
3347	['дон', 'дон', 'чи', 'дін', 'дон', 'чи', 'г', 'н', 'дон', '😇']
3348	[]
3349	['лу', 'па', '😁']
3350	['интересный', 'язык', 'вроде', 'ваш', 'язык', 'начинаться', 'хрю', 'хрю']
3351	[]
3352	['ну', 'танк', 'челленджер', 'броня', 'уран', 'почему', 'говорить']
3353	['челленджер', 'обыкновенный', 'многослойный', 'броня']
3354	['идти', 'композитный', 'броня', 'топовый', 'серьёзно', 'засекретить']
3355	['такой', 'танк', 'вислоухий', 'дать']
3356	['тяжёлый', 'танк', 'каждый', 'мост', 'выдержать', 'самый', 'главный', 'враг', 'танк', 'это', 'мина', 'гусеница', 'самый', 'слабый', 'место', 'танк', 'защита', 'главное', 'преимущество', '«', '»', 'сравнение', 'другой', 'танк', 'башня', 'состоять', 'три', 'слой', 'комбинированный', 'бронь', 'катать', 'гомогенный', 'броня', 'мм', 'комбинированный', 'броня', 'элемент', 'мм', 'катать', 'гомогенный', 'броня', 'мм', 'бронирование', 'башня', 'очень', 'крепкий', 'танк']
3357	['челленджер', 'бронепакет', 'уран', 'керамика', 'стеклотекстолит', 'для', 'это', 'пройти', 'этап', 'ещё', 'х', 'так', 'танк', 'абрамс', 'ничто', 'удивить', 'мочь', 'всё', 'технология', 'применить', 'отработать', 'применить', 'ссср', 'собственный', 'танк', 'ещё', 'х', 'год', 'включая', 'кстати', 'подкалиберный', 'снаряд', 'сердечник', 'обеднить', 'уран']
3358	['разгонять', 'бредни', 'обычный', 'броня']
3359	['никто', 'разгонять', 'бредни', 'кроме', 'у', 'танк', 'челленджер', 'запатентовать', 'броня', 'если', 'это', 'наверное', 'единственный', 'класс', 'танк', 'который', 'такой', 'броня']
3360	['бандерошвайн']
3361	['фигня', 'броня', 'бандерошвайн', 'воображать', 'икспереть']
3362	['запад', 'плевать', 'жизнь', 'здоровье', 'обычный', 'человек', 'выбирать', 'выгода', 'размениваться', 'солдат', 'гражданский', 'украина']
3363	['ранний']
3364	['здравый', 'решение', 'темза', 'берег', 'потерять']
3365	['фейк', 'разгонять']
3366	['свой', 'ум', 'ты', 'видимо', 'очень', 'понимать', 'последсвие', 'удар', 'ядерный', 'держава', 'уж', 'извинить', 'хотеть', 'сгореть', 'свет', 'ядерный', 'взрыв']
3367	['тактический', 'понарошку']
3368	['они', 'понимать', 'давать', 'украина', 'приедться', 'отвечать', 'очень', 'больно']
3369	['бежать', 'туманный', 'альбион']
3370	['это', 'немного', 'заиграться', 'боеприпас', 'быть', 'серьёзный', 'проблема', 'украина', 'полететь']
3371	['ну', 'видимо', 'скучно', 'жить', 'происходить', 'позабыть', 'последствие', 'авария', 'чернобыль', 'кроме', 'америка', 'испугаться', 'ядерный', 'осадки', 'ветер', 'сторона']
3372	['запад', 'нужно', 'начало', 'свой', 'территория', 'использать', 'это', 'токсичный', 'оружие']
3373	['да', 'народ', 'россия', 'давно', 'требовать', 'реальный', 'действие', 'кремлёвский', 'кроме', 'бизнес', 'интерес', 'бояться', 'это', 'никак', 'ответить', 'барвих', 'долетать']
3374	['с', 'власть', 'интересоваться', 'бизнес', 'у', 'идти', 'вовсю', 'процесс', 'демилитаризация', 'денацификация', 'украина', 'собственно', 'сам', 'страна', 'сложить', 'рука', 'сидеть', 'мы', 'наступать', 'оборонять']
3375	['идти', 'раздел', 'захваченнвха', 'ресурс', 'верить', 'путка', 'волновать', 'человек', '🤣', '🤣', '🤣', '🤣']
3376	['какой', 'захватить', 'ресурс', 'никто', 'быть', 'делить', 'красть', 'фигня', 'причём', 'сказать', 'путин', 'действительно', 'волновать', 'человек', 'страна', 'постоянно', 'обращаться', 'народ', 'узнать', 'мнение', 'пытаться', 'работать', 'ошибка', 'и', 'собственно', 'послание', 'тот', 'пример']
3377	['дешёвый', 'показуха', 'побор', 'налог', 'штраф']
3378	['побор', 'налог', 'штраф', 'пытка', 'расстрел', 'насильный', 'могилизация', 'заниматься', 'исключительно', 'сбу', 'сс', 'верный', 'пёс', 'зеленский', 'переобучить', 'защитный', 'организация', 'террорестический']
3379	['год', 'пенсия', 'кинуть', 'добровольно', 'мобилизация']
3380	['давать', 'сравнимый', 'получаться', 'зель', 'сделать', 'мобилизация', 'который', 'идти', 'начало', 'конец', 'переставать', 'тысяча', 'состав', 'котоырть', 'обучение', 'беларусь', 'работать', 'снбженский', 'линия']
3381	['х', 'год', 'демографичческий', 'яма', 'поэтому', 'сужать', 'круг', 'увеличить', 'рабочий', 'потенациал', 'трилиион', 'рубль', 'идти', 'пенсся', 'страна', 'трилион', 'рубль', 'иметь', 'доход', 'год', 'это', 'сделать', 'это', 'убыток', 'снова', 'долг', 'страна']
3382	['наивный', 'семён', 'забрать', 'человек', 'труп', 'вернуть', 'мес']
3383	['накопление', 'человек', 'деваться', 'дожить', 'пенсия', 'год', 'прожить', 'что', 'самый', 'богатый', 'мир', 'страна', 'старик', 'прокормить', 'после', 'й', 'мироаий', 'никто', 'поднимать', 'ям', 'быть', 'полечь', 'в', 'китай', 'тот', 'возраст', 'ниже']
3384	['рамзанк', 'ещё', 'живой']
3385	['спросить', 'стена']
3386	['правда', 'лично', 'сам', 'задать', 'вопрос']
3387	['действительно', 'спросить', 'лично', 'открыть', 'общение', 'если', 'получиться', 'написать', 'постараться', 'твой', 'вопрос', 'переслать']
3388	['ваш', 'молитва', 'спасибо', 'большой', 'интересоваться', 'а', 'кстати', 'всу', 'поживать', 'здоровье', 'артёмовский']
3389	['спросить', 'свой', 'хозяин', 'иди…']
3390	['это', 'фуфло', 'я', 'хотеть', 'сказать', 'лайкать', 'бот', 'вот', 'это', 'уровень', 'приятно']
3391	['свой', 'язык', 'ответить']
3392	['а', 'какой', 'другой', 'как', 'здоровый', 'бык']
3393	['ты', 'видный', 'регулярно', 'иметь', 'вместо', 'овца']
3394	['он', 'свой', 'завистник', 'ненавистник', 'пережить', 'обитать', 'атмосфера', 'токсичный']
3395	['местный', 'иегова', 'нанять', 'европейский', 'низ', 'а', 'стоить', 'местный', 'иеговымь', 'сша']
3396	['четыре', 'американский', 'семья', 'крупный', 'инвестор']
3397	['деньга', 'трамп', 'клинтон', 'буш', 'байден']
3398	['трамп', 'маск', 'связаться', 'весь', 'вылезти', 'европа', 'и', 'весь', 'грязь']
3399	['буш', 'байден', 'мы', 'и', 'клинтон', 'близкий']
3400	['но', 'забывать', 'куча', 'семья']
3401	['англичанин', 'сам']
3402	['трамп', 'особо', 'вникать', 'представлять', 'интерес', 'план', 'ум']
3403	['они', 'пытаться', 'объяснить', 'вкладывать', 'деньга', 'диктовать', 'условие', 'а', 'почему', 'слушаться', 'почему', 'отсебятина']
3404	['трамп', 'клинтон', 'буш', 'подобнный', 'миллионер', 'лишь', 'пешка', 'шахматный', 'игра', 'король']
3405	['пытаться', 'оправдать', 'иран', 'иметь', 'никакой', 'право', 'оскотиниться']
3406	['далее', 'ил', 'снаряд', 'обеднить', 'уран', 'радиация']
3407	['говорить', '😂', 'физика', 'химия', 'радиология', 'говорить', 'обратный']
3408	['смущать', 'почему', 'называться', 'обеднить']
3409	['рассказать', 'это', 'сербия', 'мочь', 'ты', 'статистика', 'онкозаболевание', 'дать', 'спустя', 'год']
3410	['это', 'вещество', 'который', 'оставаться', 'большинство', 'высокорадиоактивный', 'изотоп', 'уран', 'отбираться', 'использование', 'качество', 'ядерный', 'топливо', 'ядерный', 'оружие']
3411	['че', 'это', 'пропаганда']
3412	['обеднить', 'очистить', 'ты', 'говорить', 'оставаться', 'достаточно']
3413	['ты', 'говорить', 'новый', 'американский', 'танк', 'абрамс', 'иметь', 'броня', 'обеднить', 'уран', 'они', 'технология', 'кто', 'делиться', 'например', 'тот', 'танк', 'слать', 'всу', 'заменять', 'урановый', 'пластина', 'обычный', 'но', 'думать', 'обеднить', 'уран', 'радиоактивный', 'ездить', 'танк', 'обложить', 'уран', 'так', 'пиц']
3414	['единственный', 'причина', 'почему', 'применять', 'это', 'твёрдость', 'прошивать', 'танк', 'легко', 'а', 'броня', 'уран', 'непросто', 'пробить', 'и', 'остальной', 'ы', 'пропаганда']
3415	['прекрасно', 'знать', 'такой', 'обеднить', 'уран', 'какой', 'свойство', 'если', 'забыть', 'уран', 'это', 'радиоактивный', 'элемент', 'да', 'обеднить', 'уран', 'маленький', 'высокорадиоактивный', 'изотоп', 'менее', 'оставаться', 'уран', 'обладать', 'радиоактивность', 'высокий', 'токсичность', 'статистика', 'показывать', 'уровень', 'онкозаболевание', 'среди', 'танкист', 'работать', 'урановый', 'бопс', 'значительно', 'выше', 'а', 'западный', 'солдат', 'прошедшее', 'ирак', 'год', 'рак', 'обнаружить', 'человек', 'безвредный', 'уран', 'не', 'зря', 'обеднить', 'уран', 'считаться', 'радиоактивный', 'материал', 'храниться', 'закрытый', 'контейнер']
3416	['хотеть', 'сказать', 'проклятый', 'американец', 'свой', 'танкист', 'посадить', 'танк', 'урановый', 'бронь', 'знать', 'опасный', 'фраза', 'смущать']
3417	['а', 'почему', 'мишустин', 'ребёнок', 'жить', 'швейцария']
3418	['жить', 'старший', 'учиться', 'год', 'москва', 'младший', 'ходить', 'школа', 'средний', 'пристроить', 'столица', 'публика', 'пи', 'деть']
3419	['родитель', 'смочь', '🤣', '🤣']
3420	['старший', 'сын', 'алексей', 'родиться', 'июль', 'год', 'учиться', 'один', 'самый', 'дорогой', 'швейцарский', 'школа', 'интернат', 'год', 'учиться', 'мгту', 'н', 'э', 'бауман', 'факультет', '«фундаментальный', 'науки»', 'специальность', '«прикладной', 'математика»', 'зачислить', 'вступительный', 'экзамен', 'средний', 'сын', 'александр', 'родиться', 'год', 'также', 'учиться', 'год', 'учиться', 'мгту', 'н', 'э', 'бауман', 'факультет', '«инженерный', 'бизнес', 'менеджмент»', 'младший', 'сын', 'михаил', 'родиться', 'май', 'год', 'учиться', 'один', 'московский', 'школа', 'играть', 'нападать', 'хоккейный', 'команда', '«армада»', 'город', 'одинцово', 'заниматься', 'шахматы', 'шахматный', 'клуб']
3421	['её', 'жаба', 'давить']
3422	['завтра', 'россия', 'знать', 'госдума', 'мишустин', 'телевизор', 'прямой', 'эфир']
3423	['насколько', 'играть', 'ермолов', 'вечером', 'день', 'стоять', 'шлифовальный', 'станок']
3424	['понятно']
3425	['россия', 'хреновый', 'образование', 'это', 'швейцария', 'учиться']
3426	['ложь']
3427	['делиться', 'источник', 'писать', 'очевидный', 'враньё']
3428	['а', 'почему', 'налогоплательщик', 'избиратель']
3429	['в', 'российский', 'федерация', 'суть', 'парламент', 'правительство', 'суд', 'право', 'есть', 'кучка', 'человек', 'который', 'присвоить', 'функция', 'жить', 'принцип', 'закон', 'тайга', 'медведь', 'хозяин']
3430	['сказать', 'федерация', 'чистый', 'вид']
3431	['похозяйничать', '😅']
3432	['ну', 'оно', 'должный', 'депутат', 'отчитытвать', 'проект', 'разрабатывать', 'закон']
3433	['дума', 'представлять', 'интерес', 'налогоплательщик', 'избиратель', 'кто', 'избирать', 'созыв', 'дума']
3434	['процесс', 'работать', 'улучшаться', 'это', 'просто', 'накатать', 'происходить', '🤡']
3435	['твой', 'налог', 'идти', 'баланда', 'вор', 'новальный', 'живить', 'это']
3436	['порвать']
3437	['дума', 'выбирать', 'сотня', 'тысяча', 'другой', 'гражданин']
3438	['собирать', 'китайский', 'автомобиль', 'классный', 'улучшение']
3439	['потом', 'зайти', 'риа', 'почитать', 'вкратце', 'кто', 'делать', 'лайк']
3440	['правительство', 'делать', 'устраинить', 'логистическра', 'ошибка', 'наш', 'экономика', 'это', 'просто', 'никто', 'выгрдно', 'сейсас', 'халтурить']
3441	['ну', 'риа', 'тезисный', 'дублировать', 'важный', 'выступление', 'политик', 'прочитать']
3442	['ты', 'обделить']
3443	['время', 'новый', 'итересный', 'история', '✊']
3444	['это', 'история', 'это', 'итог', 'результат', 'придумать', 'слушайте']
3445	['хотеть', 'слушайте', 'отчёт', 'предоставляться', 'россиянин', 'идиот']
3446	['как', 'укро', 'ботинок', 'интересоваться', 'российский', 'политика', 'внимательно', 'следить', 'новость', 'задавать', 'вопрос', 'дружно', 'конспектировать']
3447	['рагулевый', 'пиндос', 'порешать', 'последний', '🤣', '🤣']
3448	['как', 'обычно', 'быть', 'лапша', 'ухо', 'вешать', 'главное', 'зп', 'повысить', 'святой', 'человек', 'тяжёлый', 'работа']
3449	['подобный']
3450	['мочь', 'отучиться', 'попасть', 'туда', 'понять', 'сильно', 'ошибаться']
3451	['это', 'скорее', 'депутат', 'они', 'спец', 'часть', 'поднять', 'зря', 'плата', 'сделать', 'видимость', 'плодотворный', 'работа']
3452	['ну', 'точно', 'справиться', 'спор', 'кроме', 'критика', 'явно', 'куча', 'предложение', 'улучшить', 'ситуация', 'страна']
3453	['очень', 'забавно', 'наблюдать', 'нытик', 'который', 'свой', 'неудача', 'винять', 'правительство']
3454	['быть', 'сытый', '😁']
3455	['б', 'самогон', 'бесплатно', '😆']
3456	['благодаря', 'работа', 'мишустин', 'мочь', 'пользоваться', 'интернет', 'драться', 'какой', 'мужик', 'помойка', 'последний', 'кусок', 'тухлый', 'яблоко']
3457	['если', 'верить', 'дерьмо', 'дистанция', 'посмотреть', 'наш', 'страна', 'приображаться', 'очень', 'сильно']
3458	['считать', 'тяжёлый', 'я', 'уверять', 'столько', 'нерв', 'ответственность', 'иметь', 'я', 'понимать', 'россия', 'устраивать', 'очень', 'удивительно', 'за', 'последний', 'время', 'страна', 'плохо', 'стать', 'развиваться']
3459	['перед', 'гражданин', 'россия', 'отчёт', 'должный', 'депутат', 'конкретный', 'дело', 'результат']
3460	['магазин', 'сходить', 'увидеть', 'результат']
3461	['всё', 'нормально']
3462	['значит', 'нормально']
3463	['нужный', 'отчёт', 'работа', 'видеть', 'жизнь', 'измениться', 'обычный', 'гражданин']
3464	['спасибо', 'совет', 'и', 'отчёт', 'премьера', 'нужный']
3465	['вы', 'переживать', 'вы', 'никто', 'отчиытваться', 'спокойно', 'мочь', 'посмотреть', 'отчёт']
3466	['мы', 'вечно', 'отчитываться', 'спуститься', 'земля', 'перед', 'депутат', 'отчёт', 'должный']
3467	['да', 'вообще', 'правда', 'многие', 'отчёт', 'иначе', 'доходить', 'народ', 'причём', 'недавно', 'путин', 'послание', 'пройтись', 'пунт', 'весь', 'информирование', 'население', 'таки', 'отчасти', 'постоянно', 'происходить', 'причём', 'захотеть', 'найти', 'искомый', 'информация']
3468	['депутат', 'отражать', 'интерес', 'гражданин', 'россия', 'отчитываться', 'они', 'нужно', 'галочка']
3469	['ну', 'депутат', 'идти', 'народ', 'да', 'путин', 'маленький', 'месяц', 'назад', 'выступать', 'перо', 'страна']
3470	['слава', 'наш', 'родина', '💥', 'прекрасный', 'большой', 'мужчина', 'пора', 'затянуть', 'солдатский', 'ремень', 'дело', 'защитить', 'мать', 'ребёнок', 'донбасс', 'всюду']
3471	['ти', 'окопі', 'чи', 'дивані', 'ділі', 'сидиш', '🤣']
3472	['скоро', 'прийти', 'бандёр', 'проводить']
3473	['😁', '🇷🇺', '💩']
3474	['первый', 'бандёр', 'пойти', 'последователь', '🤣', '🤣', '🤣']
3475	['слава', 'україні', '💙', '💛']
3476	['хватить', 'каркать', 'ворона', 'дать', 'хлопец', 'спокойно', 'бандёр', 'отойти']
3477	[]
3478	['вырыть', 'яма', 'скакать', 'майдан']
3479	['в', 'страна', 'всё', 'всё', 'развиваться', 'всё', 'строить', 'массово']
3480	['продолжать', 'стремиться', 'идеал', 'принимать', 'самый', 'нужный', 'закон']
3481	['пора', 'русский', 'учить', 'это', 'неуч']
3482	['санда', 'один', 'слово', '😂', 'первый', 'буква', 'поменять', 'всё', 'ясно']
3483	['принципиально']
3484	['рассказать', 'это', 'весь', 'вестись', 'уловка', 'евросоюз']
3485	['итак', 'русский', 'говорить', 'граматик', 'подтянуть', 'общий', 'правило']
3486	['забыть', 'скоро', 'такой', 'движение']
3487	['кто', 'учить', 'русский', 'есть', 'хотя', 'один', 'причина', 'это', 'делать']
3488	['пора', 'сменить', 'правительство', 'пока', 'повторить', 'сценарий', 'украина', 'который', 'санда', 'вести']
3489	['пукнуть', 'нюхать']
3490	['культура', 'история', 'страна', 'также', 'принципиальный', 'чушь', 'сказать', 'считаться', 'один', 'язык', 'человек', 'заберать', 'право', 'называть', 'язык', 'свой']
3491	['русский', 'язык', 'очень', 'богатый', 'насыщенный', 'английский', 'сленг', 'заполняться', 'упрощаться', 'примитив']
3492	['и', 'такой', 'идиот', 'ткать', 'руководить', 'страна', '🤷', '\u200d', '♂', '️', 'но', 'её', 'выбрать']
3493	['так', 'путин', 'выбрать', 'выйти']
3494	['очень', 'просто', 'продвинуть', 'нужный', 'особить', 'мелкий', 'страна', 'такой', 'население', 'рядом', 'ес', 'давно', 'качать', 'сторона', 'сторона']
3495	['она', 'румынский', 'гражданство', 'большинство', 'нынешний', 'руководитель', 'оккупация', 'единый', 'выстрел']
3496	['ага', 'байданюк']
3497	['зеленский', 'начать', 'война', 'на', 'свой', 'территория', 'уполовинить', 'население', 'территория', 'растерять', 'а', 'это', 'получиться', 'сам', 'половина', 'население', 'уничтожить', 'террритория', 'подевать', 'всё', 'и', 'никто', 'помогать', 'вы', 'ещё', 'сказать', 'россия', 'напасть', 'на', 'свой', 'территория', 'россия', 'напасть', 'а', 'россия', 'она', 'напасть', 'начало', 'буча', 'гостомела', 'ирпень', 'защищаться', 'правда', 'смочь', 'следовать', 'защититься', 'и', 'херсон', 'смочь', 'защититься', 'сейчас', 'запорожский', 'обл', 'защищаться', 'зеленский', 'война', 'вести', 'россия', 'нападать']
3498	['курить']
3499	['простой', 'ответ', 'зеленский', 'клясться', 'закончить', 'война', 'донбасс', 'оттого', 'наивно', 'верить', 'достаточно', 'говорить', '«просто', 'перестать', 'стрелять»', 'так', 'быть', 'выполнить', 'первый', 'пункт', 'минский', 'соглашение', '«полный', 'всеобъемлющий', 'прекращение', 'огня»', 'что', 'главнокомандующий', 'сделать', 'отдать', 'приказ', 'открывать', 'огонь', 'отвечать', 'обстрел', 'сторона', 'бандформирование', 'лднр', 'что', 'бандформирование', 'лднр', 'чрезвычайно', 'обрадоваться', 'приняться', 'шмалить', 'часть', 'всу', 'скрываться', 'а', 'зеленский', 'памятовать', 'пообещать', 'окончить', 'война', 'решить', 'односторонний', 'порядок', 'выполнить', 'второй', 'пункт', 'минский', 'соглашение', 'именно', '«отвод', 'тяжёлый', 'вооружение', 'линия', 'разграничения»', 'отдать', 'приказ', 'отвести', 'тяжёлый', 'вооружение', 'отвести', 'часть', 'всу', 'линия', 'разграничение', 'км', 'бандформирование', 'лднр', 'такой', 'манёвр', 'обрадоваться', 'занять', 'позиция', 'оставить', 'всу', 'продолжить', 'обстрел', 'новый', 'сила', 'и', 'выясниться', 'невозможно', 'выполнить', 'минский', 'соглашение', 'другой', 'сторона', 'категорически', 'желать', 'исполнение', 'а', 'ещё', 'зеленский', 'неприятный', 'сюрприз', 'стать', 'другой', 'сторона', 'выполнять', 'минский', 'соглашение', 'вопить', 'зеленский', 'соглашение', 'выполнять', 'простой', 'ответ']
3500	['выйти', 'наш', 'страна', 'суверенитет', 'потерянный', 'путин', 'ваш', 'сделать']
3501	['задать', 'простой', 'вопрос', 'дать', 'простой', 'ответ', 'если', 'хотеть', 'начать', 'развернуть', 'многочасовой', 'дискуссия', 'миссия', 'обсе', 'почему', 'вообще', 'оказаться', 'невыполнение', 'обещание', 'предлагать', 'начать', 'разговор', 'договор', 'дружба', 'сотрудничество', 'партнёрство', 'российский', 'федерация', 'украина', 'укр', 'договір', 'дружба', 'співробітництво', 'і', 'партнёрство', 'між', 'україной', 'і', 'російська', 'федерацієть', 'договор', 'российский', 'федерация', 'украина', 'действовать', 'год', 'который', 'закрепляться', 'принцип', 'стратегический', 'партнёрство', 'признание', 'нерушимость', 'существующий', 'граница', 'уважение', 'территориальный', 'целостность', 'взаимный', 'обязательство', 'использовать', 'территория', 'ущерб', 'безопасность', 'друг', 'друг', 'так', 'быть', 'начать', 'разговор', 'первый', 'подтереться', 'это', 'договор']
3502	['ваш', '«простой', 'вопросе»', 'манипуляция', 'основать', 'ложь', 'ваш', 'сми', 'минский', 'соглашение', 'возникнуть', 'результат', 'развитие', 'гибридный', 'война', 'начать', 'россия', 'против', 'украина']
3503	['чем', 'вон', 'такой', 'забористый', 'поставлять']
3504	['в', 'добрый', 'путь', 'молдавия', 'добро', 'пожаловать', 'румыния', 'страна', 'нато', 'защита', 'цивилизовать', 'развитие', 'обеспечить', 'завидовать', 'россия']
3505	[]
3506	['самолайк', 'это', 'диагноз']
3507	['пол', 'сменить', 'лезть', 'цивилизованный']
3508	[]
3509	['завидовать', 'тот', 'суверенитет', 'потерять', 'вы', 'прямо', 'майдан', 'вы', 'радоваться', 'весь', 'кто', 'такой', 'проблема', 'казаться', 'единственный', 'дурак', 'спокойный']
3510	['😂', '😂', '😂', '😂', '😂', '😂', 'смешить']
3511	['лариска', 'нога']
3512	['слив', 'виноград', 'румыния', 'продавать', 'быть', '🤣', '🤣', '🤣']
3513	['один', 'четыре', 'лицо', '🤣', '🤣', '🤣']
3514	['защита', 'никто', 'угрожать', 'хватить', 'придумывать', 'агрессор']
3515	['полностью', 'сдать', 'страна']
3516	['оказываться', 'пока']
3517	['понятно', 'говорить', 'странный', 'язык', 'дурачок', 'он', 'дурдом']
3518	['ага', 'неплохой', 'сценка', 'польша']
3519	['артёмовск', 'марс', 'нибира', 'угодный', 'сдать']
3520	['кадр', 'постоять', 'светить', 'тряпка', 'жёлтый', 'синь', 'военный', 'стоять', 'чистый', 'шапка', 'выбрить', 'фронт', 'никто', 'ангар', 'угодный', 'фронт', 'никто', 'награда', 'нужный']
3521	['жёсткий']
3522	[]
3523	['заметно', 'уверенность', 'правота', 'свой', 'дело', 'радость', 'награда', 'облик', 'этот', 'гора', 'воин', 'полный', 'отсутствие', 'бодрость', 'дух', 'убийца', 'мирный', 'население', 'сочувствие', 'жалость', 'вызывать', '👎']
3524	['дура']
3525	['что', 'тряпка', 'сзади']
3526	['этот', 'тряпка', 'снять']
3527	['грузин', 'попробовать']
3528	['молдавский', 'флаг', 'спина', 'видно', 'деталь']
3529	[]
3530	[]
3531	['позориться']
3532	['это']
3533	[]
3534	[]
3535	['это', 'победить', 'картинка']
3536	['так', 'п', '🤡', '🤣']
3537	['теперь', 'гонять', 'мамалыжник', 'быть', 'говорить', 'плохо', 'класть', 'плитка', 'чертовый', 'румынчик', 'плохо', 'цыганёнок', 'румынский', 'пусть']
3538	['не', 'одобрить', 'устроить']
3539	['сегодня', 'бахмут', 'приезжать', 'зеленский', 'в', 'бахмут', 'который', 'заблокировать', 'наш', 'я', 'понять', 'один', 'на', 'кто', 'рассчитать', 'это', 'враньё', 'окружение', 'мы', 'наоборот', 'начинать', 'отступать', 'всу', 'выигрывать', 'время', 'большой', 'наступление']
3540	['я', 'понять', 'один', 'на', 'кто', 'рассчитать', 'это', 'представление', 'приезд', 'зелень', 'бахмут', 'в', 'видеоряд', 'фон', 'слышный', 'тяжёлый', 'бой', 'который', 'сообщать', 'мировой', 'сми', 'специально', 'вырезать', '😀', '😀', '😀']
3541	['ага', 'расстояние', 'км', 'постоялый', 'уехать']
3542	['бой', 'уйти', 'окраина', 'город', 'приехать', 'вагнер', 'закончиться', 'поход', 'мобик', 'отказываться', 'переть', 'наркота', 'пулемёт']
3543	['не', 'приезжать', 'туда']
3544	[]
3545	['он', 'красный', 'площадь', 'москва', 'нью', 'йорк', 'одновременно', '☝', '🤣']
3546	['где', 'отступать', 'нести', 'вообще']
3547	['ну', 'кокаиновый', 'угар', 'занести']
3548	['это', 'кусочек', 'карта', 'который', 'видно', 'готовиться', 'нападение', 'беларусь']
3549	['звук', 'работать', 'арт', 'слышный', 'примерно', 'км', 'плохой', 'погода', 'протяжённость', 'город', 'колледж', 'культура', 'восток', 'город', 'отделение', 'новый', 'почта', 'запад', 'город', 'км', 'это', 'прямой', 'линия', 'краткий', 'маршрут', 'проложить', 'улица', 'вопрос', 'насколько', 'окраина', 'город', 'должный', 'арт', 'слышный', 'слово']
3550	['так', 'ещё', 'декабрь', 'говорить', 'взять', 'неужели', 'русский', 'пропаганда', 'врать', '🤔']
3551	['хохлушка', 'дело', 'европа']
3552	['никто', 'говорить', 'говорить', 'окружение', 'взятие', 'неизбежно', 'близкий', 'время']
3553	['кроме', 'никто', 'видеть', 'поэтому', 'смочь', 'доказать', 'такой', 'говорить']
3554	['говорить', 'конкретно', 'привести', 'факт', 'доказательство']
3555	['память', 'нужно', 'потренировать', 'подобный', 'завляля', 'возможно', 'соледаром', 'перепутать']
3556	['неужели', 'необходимый', 'ставить', 'смайлик', 'привлечь', 'внимание']
3557	['врать', 'ни', 'один', 'российский', 'сми', 'такой', 'говорить']
3558	['никто', 'говорить', 'артёмовск', 'бахмут', 'взять', 'полностью', 'зимой', 'соледар', 'взять']
3559	['бот']
3560	['да', 'взять', 'з', 'далее', 'лб', 'полгода', 'село', 'взять', 'мочь', 'далее', 'лб']
3561	[]
3562	['твой', 'команда', 'ждать']
3563	['ружьё', 'зуб', 'вперёд', 'видеть']
3564	['идти', 'показать', 'брать', 'укрепрайон', 'что', 'диван', 'скулить']
