	comment
67	['тсж', 'огромный', 'минус', 'это', 'стоимость', 'итог', 'обслуживание', 'если', 'ставить', 'реальный', 'ценник', 'который', 'действительно', 'делать', 'должник', 'и', 'работать', 'в', 'ук', 'специалист', 'обслуживать', 'несколько', 'дом', 'вывозить', 'дворник', 'фига', 'найти', 'сегодня', 'копейка', 'никто', 'месть', 'мыть', 'сантехник', 'обслуживать', 'свой', 'теплопункт', 'это', 'отдельный', 'статья', 'расход', 'и', 'председатель', 'тыс', 'стать', 'нормальный', 'выслушивать', '💩', 'людской']
68	['согласный', 'идеальный', 'вариант', 'сожаление']
69	['тсж', 'председатель', 'жить', 'соседний', 'езда', 'только', 'нах', 'нужно', 'обидно', 'хотеть', 'поменять', 'никто', 'соглашаться', 'её', 'заменить']
70	['тсж', 'двор', 'чистить', 'мусор', 'управляйка', 'вывозить', 'свой', 'автомобиль', 'бороться', 'смысл', 'писать', 'администрация', 'индустриальный', 'район', 'нарушение', 'видеть', 'так', 'жить', '…', 'это', 'спорный']
71	['а', 'ук', 'такой', 'чистить', 'смотреть', 'почистить']
72	['пусть', 'счёт', 'адрес', 'ук', 'выставлять', 'провести', 'работа', 'если', 'ошибаться', 'закон', 'пункт', 'так', 'всё', 'закон']
73	['р', 'час']
74	['умножить', 'кол', 'человек', 'думать', 'сумма', 'нормальный']
75	['правильно', 'считать', 'делить', 'нужно']
76	['дворник', 'получать', 'так', 'зарплата', 'часовой', 'день', 'рабочий', 'день', 'получаться', 'примерно', 'р', 'час', 'разделить']
77	['вы', 'правильно', 'считать', 'да', 'любой', 'случай', 'важный', 'сумма', 'важный', 'прецедент', 'так', 'уборка', 'весь', 'услуга', 'который', 'оказывать', 'ук', 'и', 'ремонт', 'подъезд', 'герметизация', 'шов', 'так', 'далее']
78	['ну', 'первый', 'это', 'здорово', 'что', 'сам', 'почистить', 'красота', 'чистота', 'сам', 'ходить', 'приятно', 'наверное', 'дворник', 'в', 'новость', 'говориться', 'хватать', 'дворник', 'зарплата', 'так']
79	['ук', 'вообще', 'ленивый', 'организация', 'сколько', 'разговор', 'заводила', 'друг', 'многий', 'упровляйка', 'либо', 'хреновый', 'либо', 'вообще', 'забить', 'всё']
80	['поэтому', 'нужный', 'тсж', 'вот', 'собрать', 'дом', 'квартира', 'мы', 'дом', 'попытаться', 'собрать', 'тсж', 'смочь']
81	['когда', 'начать', 'управляйка', 'наказывать', 'неисполнение', 'свой', 'обязанность']
82	['пока', 'заносить', '«куда', 'надо»']
83	['только', 'быть', 'наказывать', 'штраф', 'деньга', 'дом', 'пойти', 'из', 'свой', 'карман', 'выплатить']
84	['молодец', 'убрать', 'сейчас', 'ук', 'начать', 'делать']
85	['зп', 'удерживать', 'решение', 'суд', 'шевелиться', 'начать']
86	['совершенно', 'правый', 'штраф', 'итог', 'жилец', 'сам', 'оплатить']
87	['у', 'вообще', 'дворник', 'забыть', 'выглядеть', 'лом', 'лопата', 'круглый', 'год', 'ведро', 'метёлка', 'всё', 'ржать', 'материться', 'жэу', 'индустриальный', 'район', 'жалоба', '«забило»', 'к', 'мы', 'балтийский', 'проехать', 'пешком', 'проблема', 'молодец', 'жилец', 'наш', 'организовать']
88	['пора', 'ук', 'частный', 'рука', 'убирать']
89	['вообще', 'частник', 'зло', 'ни', 'медицина', 'строительство', 'перевозка', 'человек', 'автобус', 'дядя', 'заинтересованный', 'прибыль', 'должный', 'заниматься', 'это', 'социалка', 'заниматься', 'это', 'должный', 'государство']
90	['война', 'дело', 'такое…']
91	['дело', 'война', 'губернатор', 'сказать', 'никто', 'никто', 'держать', 'регион']
92	['отток', 'специалист', 'мобилизация', 'влиять', 'дефицит', 'кадр', 'целое', 'дефицит', 'квалифицировать', 'кадр', 'далёкий', 'усиливаться', 'сейчас', 'позабрать', 'война', 'один', 'пенсионер', 'остаться']
